(t_index)(term           )(df )
(679    )(commutation:   )(2  )
(680    )(commutations:  )(1  )
(681    )(comparison     )(4  )
(682    )(compart        )(4  )
(683    )(compassion     )(2  )
(684    )(compet         )(1  )
(685    )(competit       )(1  )
(686    )(complac        )(1  )
(687    )(complain       )(1  )
(688    )(complaint      )(1  )
(689    )(complet        )(7  )
(690    )(complex        )(1  )
(691    )(complic        )(1  )
(692    )(composit       )(2  )
(693    )(con            )(1  )
(694    )(conced         )(12 )
(695    )(concentr       )(1  )
(696    )(concern        )(10 )
(697    )(concert        )(1  )
(698    )(conclud        )(7  )
(699    )(conclus        )(1  )
(700    )(concret        )(4  )
(701    )(condemn        )(3  )
(702    )(condit         )(3  )
(703    )(condol         )(1  )
(704    )(conduct        )(1  )
(705    )(confer         )(2  )
(706    )(confess        )(2  )
(707    )(confetti       )(1  )
(708    )(confid         )(1  )
(709    )(confirm        )(13 )
(710    )(conflict       )(7  )
(711    )(confront       )(2  )
(712    )(confus         )(1  )
(713    )(congratul      )(4  )
(714    )(congress       )(24 )
(715    )(congression    )(1  )
(716    )(connal         )(3  )
(717    )(connect        )(6  )
(718    )(connelli       )(1  )
(719    )(consciou       )(1  )
(720    )(consecut       )(4  )
(721    )(consequ        )(2  )
(722    )(conserv        )(1  )
(723    )(conservat      )(1  )
(724    )(consid         )(8  )
(725    )(consider       )(1  )
(726    )(consist        )(1  )
(727    )(consolid       )(2  )
(728    )(constitut      )(7  )
(729    )(construct      )(2  )
(730    )(consul         )(1  )
(731    )(consum         )(1  )
(732    )(contact        )(1  )
(733    )(content        )(1  )
(734    )(contenti       )(1  )
(735    )(contest        )(7  )
(736    )(continu        )(39 )
(737    )(contract       )(4  )
(738    )(contribut      )(3  )
(739    )(control        )(16 )
(740    )(controversi    )(6  )
(741    )(converg        )(2  )
(742    )(convers        )(1  )
(743    )(convict        )(51 )
(744    )(convoy         )(1  )
(745    )(cool           )(1  )
(746    )(cooper         )(5  )
(747    )(coordin        )(2  )
(748    )(cop            )(1  )
(749    )(cope           )(3  )
(750    )(coproduct      )(6  )
(751    )(corey          )(1  )
(752    )(corina         )(4  )
(753    )(cornard        )(1  )
(754    )(corner         )(9  )
(755    )(corp           )(3  )
(756    )(corps          )(3  )
(757    )(correspond     )(5  )
(758    )(corrupt        )(14 )
(759    )(cost           )(5  )
(760    )(costa          )(1  )
(761    )(costli         )(1  )
(762    )(couch          )(1  )
(763    )(could          )(34 )
(764    )(couldnt        )(1  )
(765    )(count          )(2  )
(766    )(counter        )(1  )
(767    )(counterattack  )(2  )
(768    )(counternarcot  )(1  )
(769    )(counti         )(3  )
(770    )(countri        )(58 )
(771    )(countrymen     )(1  )
(772    )(countrysid     )(1  )
(773    )(coup           )(7  )
(774    )(coupl          )(3  )
(775    )(cours          )(4  )
(776    )(court          )(40 )
(777    )(courtroom      )(2  )
(778    )(cousin         )(1  )
(779    )(cover          )(3  )
(780    )(coverag        )(1  )
(781    )(cowardli       )(1  )
(782    )(crack          )(2  )
(783    )(crackdown      )(2  )
(784    )(cradl          )(1  )
(785    )(craft          )(1  )
(786    )(cragey         )(2  )
(787    )(craggi         )(1  )
(788    )(cram           )(1  )
(789    )(cramp          )(2  )
(790    )(crash          )(17 )
(791    )(crater         )(1  )
(792    )(cream          )(1  )
(793    )(creat          )(2  )
(794    )(credibl        )(4  )
(795    )(credit         )(1  )
(796    )(creed          )(1  )
(797    )(crest          )(1  )
(798    )(crew           )(23 )
(799    )(crewmemb       )(2  )
(800    )(crewmen        )(4  )
(801    )(cri            )(3  )
(802    )(crime          )(3  )
(803    )(crimin         )(5  )
(804    )(crippl         )(16 )
(805    )(crise          )(2  )
(806    )(crisi          )(6  )
(807    )(critic         )(14 )
(808    )(crosbi         )(1  )
(809    )(cross          )(1  )
(810    )(crouch         )(1  )
(811    )(crowd          )(9  )
(812    )(crown          )(1  )
(813    )(crucial        )(3  )
(814    )(cruis          )(2  )
(815    )(crumbl         )(3  )
(816    )(crush          )(4  )
(817    )(cryptic        )(1  )
(818    )(cuba           )(1  )
(819    )(cuban          )(1  )
(820    )(cuellar        )(2  )
(821    )(culprit        )(1  )
(822    )(cup            )(3  )
(823    )(curb           )(1  )
(824    )(curfew         )(2  )
(825    )(current        )(3  )
(826    )(curtail        )(2  )
(827    )(custodi        )(1  )
(828    )(custom         )(1  )
(829    )(cut            )(8  )
(830    )(cutter         )(2  )
(831    )(cw             )(1  )
(832    )(cycl           )(1  )
(833    )(daili          )(1  )
(834    )(dakota         )(1  )
(835    )(dalla          )(3  )
(836    )(dallasbas      )(1  )
(837    )(damag          )(26 )
(838    )(dammaj         )(1  )
(839    )(dan            )(3  )
(840    )(danc           )(1  )
(841    )(danger         )(16 )
(842    )(danzig         )(1  )
(843    )(dare           )(1  )
(844    )(dark           )(1  )
(845    )(dart           )(1  )
(846    )(dash           )(1  )
(847    )(date           )(1  )
(848    )(datelin        )(1  )
(849    )(daughter       )(1  )
(850    )(daunt          )(3  )
(851    )(dave           )(10 )
(852    )(davenport      )(14 )
(853    )(davi           )(1  )
(854    )(david          )(14 )
(855    )(day            )(80 )
(856    )(dd             )(1  )
(857    )(de             )(2  )
(858    )(dead           )(30 )
(859    )(deadli         )(12 )
(860    )(deadlock       )(1  )
(861    )(deadon         )(1  )
(862    )(deal           )(3  )
(863    )(dean           )(2  )
(864    )(death          )(42 )
(865    )(debat          )(13 )
(866    )(debri          )(5  )
(867    )(debt           )(1  )
(868    )(dec            )(3  )
(869    )(decad          )(8  )
(870    )(deceas         )(1  )
(871    )(decemb         )(7  )
(872    )(decid          )(8  )
(873    )(decis          )(11 )
(874    )(deck           )(4  )
(875    )(declar         )(13 )
(876    )(declin         )(1  )
(877    )(decrat         )(1  )
(878    )(deep           )(2  )
