t_indexterm           df 
1527   coward         1  
1528   cowboy         6  
1529   cowork         5  
1530   cox            2  
1531   cpa            1  
1532   cpo            2  
1533   cpt            1  
1534   crack          2  
1535   crackdown      1  
1536   craig          4  
1537   cram           1  
1538   crane          2  
1539   cranki         1  
1540   crap           1  
1541   crash          20 
1542   crashland      1  
1543   crate          1  
1544   crave          1  
1545   crawford       1  
1546   crazi          2  
1547   creasi         1  
1548   creat          13 
1549   creation       2  
1550   creativ        1  
1551   creator        3  
1552   creatur        8  
1553   credit         1  
1554   creed          2  
1555   creek          1  
1556   creeper        1  
1557   creepi         1  
1558   crew           19 
1559   crewmen        1  
1560   cri            1  
1561   crime          32 
1562   crimefight     1  
1563   crimelord      1  
1564   crimin         20 
1565   crisi          6  
1566   crisp          1  
1567   cristo         1  
1568   critic         3  
1569   crittenden     1  
1570   croft          1  
1571   croker         1  
1572   cromwel        1  
1573   crook          1  
1574   crop           3  
1575   crorepati      1  
1576   cross          9  
1577   crossbre       1  
1578   crosscountri   1  
1579   crow           2  
1580   crowd          2  
1581   crown          3  
1582   crucifi        1  
1583   crucifixion    1  
1584   cruel          6  
1585   cruis          5  
1586   cruiser        1  
1587   crusad         6  
1588   crush          1  
1589   crushwho       1  
1590   cruz           3  
1591   crybabi        1  
1592   cryonic        1  
1593   cryptanalyst   1  
1594   cryptic        2  
1595   csistyl        1  
1596   ct             1  
1597   cte            1  
1598   cuba           2  
1599   cube           1  
1600   cuchillo;      1  
1601   cuisine;       1  
1602   culkin         2  
1603   cullen         1  
1604   culpabl        1  
1605   culprit        2  
1606   cult           1  
1607   cultiv         1  
1608   cultur         2  
1609   culture;       1  
1610   cun            1  
1611   cup            2  
1612   curat          1  
1613   cure           3  
1614   curiou         4  
1615   curli          2  
1616   curran         1  
1617   currenc        2  
1618   current        5  
1619   curs           8  
1620   curtin         1  
1621   curvier        1  
1622   cush           1  
1623   cusp           1  
1624   custodi        2  
1625   custom         2  
1626   customari      1  
1627   cut            7  
1628   cute           1  
1629   cutest         1  
1630   cutthroat      2  
1631   cyber          2  
1632   cyberspac      1  
1633   cybertron      1  
1634   cyborg         3  
1635   cynic          6  
1636   cynthia        1  
1637   cyo            1  
1638   cyril          1  
1639   da             4  
1640   dad            6  
1641   dade           1  
1642   daesu          1  
1643   dagger         1  
1644   daili          2  
1645   daisi          2  
1646   dakota         1  
1647   daku           1  
1648   dale           2  
1649   daley          2  
1650   dalla          2  
1651   dalloway       1  
1652   dalmatian      1  
1653   dalton         2  
1654   damag          4  
1655   dame           3  
1656   damian         1  
1657   damm           1  
1658   damn           1  
1659   damon          2  
1660   damp           1  
1661   dan            3  
1662   dana           1  
1663   danc           5  
1664   dancer         3  
1665   danger         20 
1666   dani           1  
1667   daniel         10 
1668   danish         1  
1669   danni          10 
1670   danson         1  
1671   dant           3  
1672   daphn          1  
1673   darc           1  
1674   darci          1  
1675   dare           2  
1676   dargu          1  
1677   daringli       1  
1678   dark           16 
1679   darkest        1  
1680   darkli         1  
1681   darko          1  
1682   darl           1  
1683   darlingson     1  
1684   darrel         1  
1685   darri          1  
1686   darryl         1  
1687   dartagnan      2  
1688   darth          3  
1689   dashwood       1  
1690   dastardli      2  
1691   data           1  
1692   date           12 
1693   date:          1  
1694   dater          1  
1695   daughter       42 
1696   dave           4  
1697   davi           4  
1698   davian         1  
1699   david          14 
1700   davidson       1  
1701   dawn           5  
1702   dawson         1  
1703   day            81 
1704   daycar         1  
1705   dayl           1  
1706   daylewi        1  
1707   dayton         1  
1708   dc             4  
1709   de             10 
1710   dea            1  
1711   deacon         1  
1712   dead           16 
1713   deadli         12 
1714   deadliest      1  
1715   deadpool       1  
1716   deaf           1  
1717   deal           21 
1718   dealer         12 
1719   dealership     1  
1720   dean           5  
1721   deanna         1  
1722   death          42 
1723   deathb         1  
1724   deathdefi      1  
1725   deathli        2  
1726   debaucheri     1  
1727   debbi          2  
1728   debra          1  
1729   debt           7  
1730   debut          1  
