t_indexterm           df 
1123   champion       5  
1124   championship   4  
1125   chan           6  
1126   chanc          6  
1127   chancellor     1  
1128   chandler       1  
1129   chandrashekhar 1  
1130   chaney         1  
1131   chang          14 
1132   chanteus       1  
1133   chanticl       1  
1134   chao           5  
1135   chaplin        2  
1136   chapter        2  
1137   charact        11 
1138   charg          8  
1139   charismat      1  
1140   chariti        3  
1141   charl          7  
1142   charlestown    1  
1143   charley        1  
1144   charli         11 
1145   charlott       3  
1146   charm          7  
1147   chart          2  
1148   chase          6  
1149   chat           2  
1150   chatur         1  
1151   chau           1  
1152   chauffeur      2  
1153   chauvinist     2  
1154   chazz          1  
1155   chboski        1  
1156   cheap          1  
1157   cheat          1  
1158   cheating;      1  
1159   check          2  
1160   cheer          2  
1161   cheerlead      4  
1162   cheesi         1  
1163   chef           1  
1164   chemic         1  
1165   chemistri      1  
1166   cheng          1  
1167   cher           2  
1168   cherish        1  
1169   cheryl         1  
1170   chesapeak      1  
1171   chest          1  
1172   chet           1  
1173   chevali        1  
1174   chevi          2  
1175   chewbacca      2  
1176   chicago        16 
1177   chick          1  
1178   chicken        1  
1179   chief          8  
1180   chiffr         1  
1181   chihiro        1  
1182   child          22 
1183   child;         1  
1184   childbirth     1  
1185   childhood      20 
1186   childish       1  
1187   children       30 
1188   chile          1  
1189   chill          2  
1190   chimera        1  
1191   chimpanze      2  
1192   china          3  
1193   chines         3  
1194   chingachgook   1  
1195   chlumski       1  
1196   chocol         3  
1197   choic          3  
1198   choir          1  
1199   chon           1  
1200   choos          3  
1201   chop           1  
1202   chosen         7  
1203   chow           1  
1204   chri           14 
1205   christi        1  
1206   christian      6  
1207   christin       1  
1208   christina      1  
1209   christma       32 
1210   christoph      3  
1211   chronic        1  
1212   chronicl       5  
1213   chuck          1  
1214   chucki         1  
1215   church         6  
1216   churchil       1  
1217   churn          1  
1218   cia            13 
1219   cider          1  
1220   cigarsmok      1  
1221   cinderella     1  
1222   cindi          3  
1223   cinema         2  
1224   cinemat        1  
1225   circa          1  
1226   circl          2  
1227   circu          1  
1228   circumst       4  
1229   circumstanti   1  
1230   cite           1  
1231   citi           69 
1232   citizen        4  
1233   citizenri      1  
1234   cityst         2  
1235   civil          18 
1236   civillaw       1  
1237   claim          3  
1238   clair          2  
1239   clan           1  
1240   clarenc        1  
1241   clari          1  
1242   claric         2  
1243   clarissa       1  
1244   clark          3  
1245   clash          2  
1246   class          9  
1247   classic        14 
1248   classif        1  
1249   classifi       3  
1250   classmat       4  
1251   classmates;    1  
1252   clau           4  
1253   claud          2  
1254   claudia        1  
1255   claudio        1  
1256   clauscarol     1  
1257   clauss         1  
1258   clay           1  
1259   clayton        1  
1260   clean          4  
1261   cleancut       1  
1262   clear          4  
1263   clement        1  
1264   clementin      1  
1265   cleric         1  
1266   clerk          7  
1267   clever         3  
1268   cleverli       1  
1269   client         3  
1270   cliff          1  
1271   climat         1  
1272   climb          2  
1273   climber        3  
1274   clinic         4  
1275   cliqu          1  
1276   clock          2  
1277   clone          2  
1278   clooney        2  
1279   clopin         1  
1280   close          22 
1281   closeknit      1  
1282   closer         6  
1283   closest        1  
1284   closur         1  
1285   cloth          1  
1286   cloud          2  
1287   cloudi         1  
1288   cloverfield    1  
1289   clown          1  
1290   club           3  
1291   clue           4  
1292   clumsi         2  
1293   clyde          2  
1294   co             1  
1295   coach          5  
