tt0105695
movie_id       cosine_similarity   
tt0349683      0.000000            
tt0356910      0.084937            
tt0386588      0.313077            
tt0099871      0.372389            
tt0046268      0.010904            
tt0371724      0.333795            
tt0021749      0.225971            
tt0102685      0.030344            
tt0204946      0.047685            
tt5726616      0.280482            
tt0162222      0.425848            
tt0218967      0.198354            
tt4622512      0.037789            
tt0207201      0.355995            
tt1446192      0.014823            
tt0099141      0.000000            
tt1796960      0.364614            
tt0388419      0.289944            
tt0047296      0.026940            
tt0443706      0.178102            
tt0120888      0.304026            
tt0454945      0.112352            
tt0266915      0.161082            
tt3530002      0.165960            
tt0100405      0.201469            
tt0036775      0.093956            
tt0413267      0.009396            
tt0108333      0.006500            
tt0102492      0.352628            
tt0446029      0.077444            
tt0055630      0.191111            
tt0206634      0.153990            
tt0056172      0.129078            
tt0054215      0.321661            
tt0175142      0.005390            
tt0409459      0.316280            
tt0387808      0.147102            
tt0105665      0.060655            
tt0277434      0.000000            
tt0078788      0.402727            
tt3920596      0.162274            
tt1253863      0.124836            
tt0100404      0.325721            
tt0489099      0.284174            
tt2582802      0.056695            
tt0117998      0.208688            
tt0347149      0.288791            
tt0108255      0.177004            
tt0250494      0.159783            
tt0221027      0.363528            
tt0756683      0.011972            
tt1032755      0.246568            
tt0114852      0.188420            
tt0105121      0.236113            
